Moana serial number, 874
Download time, 10/06/2025 09:00:02
Deck unit serial number, 5361
Moana calibration date, 17/08/2023
Moana Battery, 3.56 (V)
Date quality controlled, 2025-06-10T12:03:14 +0000
Vessel Name, Green Mountain 
Vessel ID, NA
Cellular upload position, NA
Deck unit battery voltage, 4.16
QC_FLAG Key, 1=good 2=probably good 3=probably bad 4=bad
,DATETIME [UTC],LATITUDE,LONGITUDE,TEMPERATURE [degC],DEPTH [m],QC_FLAG
129,2025-06-10T01:16:50,29.113936,197.529005,18.26,156.6,2
130,2025-06-10T01:16:54,29.113936,197.529005,18.18,157.9,2
131,2025-06-10T01:16:58,29.113936,197.529005,18.1,159.5,2
132,2025-06-10T01:17:04,29.113936,197.529005,17.94,160.5,2
133,2025-06-10T01:17:09,29.113936,197.529005,17.89,161.9,2
134,2025-06-10T01:17:13,29.113936,197.529005,17.86,163.0,2
135,2025-06-10T01:17:18,29.113936,197.529005,17.82,164.4,2
136,2025-06-10T01:17:24,29.113936,197.529005,17.78,166.0,2
137,2025-06-10T01:17:32,29.113936,197.529005,17.75,167.4,2
138,2025-06-10T01:17:38,29.113936,197.529005,17.7,168.6,2
139,2025-06-10T01:17:43,29.113936,197.529005,17.68,169.8,2
140,2025-06-10T01:17:48,29.113936,197.529005,17.68,171.1,2
141,2025-06-10T01:17:53,29.113936,197.529005,17.67,172.1,2
142,2025-06-10T01:18:00,29.113936,197.529005,17.65,173.4,2
143,2025-06-10T01:18:04,29.113936,197.529005,17.65,174.4,2
144,2025-06-10T01:18:11,29.113936,197.529005,17.62,175.8,2
145,2025-06-10T01:18:18,29.113936,197.529005,17.51,176.9,2
146,2025-06-10T01:18:24,29.113936,197.529005,17.43,177.9,2
147,2025-06-10T01:18:31,29.113936,197.529005,17.36,179.1,2
148,2025-06-10T01:18:37,29.113936,197.529005,17.26,180.4,2
149,2025-06-10T01:18:43,29.113936,197.529005,17.18,181.4,2
150,2025-06-10T01:18:51,29.113936,197.529005,17.15,182.8,2
151,2025-06-10T01:18:59,29.113936,197.529005,17.12,184.1,2
152,2025-06-10T01:19:09,29.113936,197.529005,17.05,185.2,2
153,2025-06-10T01:19:18,29.113936,197.529005,16.94,186.3,2
154,2025-06-10T01:19:25,29.113936,197.529005,16.89,187.5,2
155,2025-06-10T01:19:37,29.113936,197.529005,16.82,188.7,2
156,2025-06-10T01:19:48,29.113936,197.529005,16.77,189.8,2
157,2025-06-10T01:19:53,29.113936,197.529005,16.77,191.1,2
158,2025-06-10T01:20:03,29.113936,197.529005,16.73,192.2,2
159,2025-06-10T01:20:12,29.113936,197.529005,16.71,193.4,2
160,2025-06-10T01:20:20,29.113936,197.529005,16.7,194.8,2
161,2025-06-10T01:20:32,29.113936,197.529005,16.68,196.2,2
162,2025-06-10T01:20:42,29.113936,197.529005,16.65,197.4,2
163,2025-06-10T01:20:53,29.113936,197.529005,16.52,198.5,2
